LocationID,SystemID,LocationName,BillingCode,ServiceDescription,RevenueCode,GrossCharge,DeidentifiedMinimumCharge,DeidentifiedMaximumCharge,DiscountedCashPrice,AETNA509,AETNAAPCNSP729,AETNABP760,AETNAILPREFERRED139,BCBSBLUECHOICEOPTIONS727,BCBSBLUECHOICEPREFERRED479,BCBSPARINDEMNITYADP505,BCBSPPO424,CIGNAALTERNATIVE668,CIGNABROAD667,CIGNAPLUSNM682,HUMANAHMO299,HUMANAPPO145,UHCCORE346,UHCHMOPPO535,ChargeCode
13,1,Advocate ILLINOIS MASONIC,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
8,1,Advocate LUTHERAN GENERAL,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
9,1,Advocate SHERMAN,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
10,1,Advocate SOUTH SUBURBAN,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
11,1,Advocate TRINITY,81405,21 HYDROXYLASE GENE ANALYSIS,310,2250,,,,,,,,,,,,,,,,,,,10005559
1,1,Advocate CHRIST MEDICAL CENTER,83516,21-HYDROXYLASE ANTIBODY,301,130,,,,,,,,,,,,,,,,,,,10005313
3,1,Advocate CONDELL,83516,21-HYDROXYLASE ANTIBODY,301,220,,,,,,,,,,,,,,,,,,,10005313
4,1,Advocate GOOD SAMARITAN,83516,21-HYDROXYLASE ANTIBODY,301,125,,,,,,,,,,,,,,,,,,,10005313
6,1,Advocate GOOD SHEPHERD,83516,21-HYDROXYLASE ANTIBODY,301,140,,,,,,,,,,,,,,,,,,,10005313
13,1,Advocate ILLINOIS MASONIC,83516,21-HYDROXYLASE ANTIBODY,301,130,,,,,,,,,,,,,,,,,,,10005313
8,1,Advocate LUTHERAN GENERAL,83516,21-HYDROXYLASE ANTIBODY,301,135,,,,,,,,,,,,,,,,,,,10005313
9,1,Advocate SHERMAN,83516,21-HYDROXYLASE ANTIBODY,301,100,,,,,,,,,,,,,,,,,,,10005313
10,1,Advocate SOUTH SUBURBAN,83516,21-HYDROXYLASE ANTIBODY,301,120,,,,,,,,,,,,,,,,,,,10005313
11,1,Advocate TRINITY,83516,21-HYDROXYLASE ANTIBODY,301,120,,,,,,,,,,,,,,,,,,,10005313
1,1,Advocate CHRIST MEDICAL CENTER,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
3,1,Advocate CONDELL,81402,21-HYDROXYLASE GENE VARIANTS,310,2250,,,,,,,,,,,,,,,,,,,10005630
4,1,Advocate GOOD SAMARITAN,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
6,1,Advocate GOOD SHEPHERD,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
13,1,Advocate ILLINOIS MASONIC,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
8,1,Advocate LUTHERAN GENERAL,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
9,1,Advocate SHERMAN,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
10,1,Advocate SOUTH SUBURBAN,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
11,1,Advocate TRINITY,81402,21-HYDROXYLASE GENE VARIANTS,310,1120,,,,,,,,,,,,,,,,,,,10005630
1,1,Advocate CHRIST MEDICAL CENTER,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
3,1,Advocate CONDELL,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
4,1,Advocate GOOD SAMARITAN,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
6,1,Advocate GOOD SHEPHERD,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
13,1,Advocate ILLINOIS MASONIC,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
8,1,Advocate LUTHERAN GENERAL,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
9,1,Advocate SHERMAN,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
10,1,Advocate SOUTH SUBURBAN,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
11,1,Advocate TRINITY,81479,21-HYDROXYLASE GENES,310,3370,,,,,,,,,,,,,,,,,,,10006933
1,1,Advocate CHRIST MEDICAL CENTER,76377,3D RENDERING W/ POSTPROCESSING,402,725,,,,,,,,,,,,,,,,,,,10000590
3,1,Advocate CONDELL,76377,3D RENDERING W/ POSTPROCESSING,402,790,,,,,,,,,,,,,,,,,,,10000590
4,1,Advocate GOOD SAMARITAN,76377,3D RENDERING W/ POSTPROCESSING,402,920,,,,,,,,,,,,,,,,,,,10000590
6,1,Advocate GOOD SHEPHERD,76377,3D RENDERING W/ POSTPROCESSING,402,1130,,,,,,,,,,,,,,,,,,,10000590
13,1,Advocate ILLINOIS MASONIC,76377,3D RENDERING W/ POSTPROCESSING,402,730,,,,,,,,,,,,,,,,,,,10000590
8,1,Advocate LUTHERAN GENERAL,76377,3D RENDERING W/ POSTPROCESSING,402,1320,,,,,,,,,,,,,,,,,,,10000590
9,1,Advocate SHERMAN,76377,3D RENDERING W/ POSTPROCESSING,402,1120,,,,,,,,,,,,,,,,,,,10000590
10,1,Advocate SOUTH SUBURBAN,76377,3D RENDERING W/ POSTPROCESSING,402,755,,,,,,,,,,,,,,,,,,,10000590
11,1,Advocate TRINITY,76377,3D RENDERING W/ POSTPROCESSING,402,755,,,,,,,,,,,,,,,,,,,10000590
1,1,Advocate CHRIST MEDICAL CENTER,76376,3D RENDERING WO POSTPROCESSING,402,390,,,,,,,,,,,,,,,,,,,10000589
3,1,Advocate CONDELL,76376,3D RENDERING WO POSTPROCESSING,402,1010,,,,,,,,,,,,,,,,,,,10000589
4,1,Advocate GOOD SAMARITAN,76376,3D RENDERING WO POSTPROCESSING,402,670,,,,,,,,,,,,,,,,,,,10000589
6,1,Advocate GOOD SHEPHERD,76376,3D RENDERING WO POSTPROCESSING,402,380,,,,,,,,,,,,,,,,,,,10000589
13,1,Advocate ILLINOIS MASONIC,76376,3D RENDERING WO POSTPROCESSING,402,670,,,,,,,,,,,,,,,,,,,10000589
8,1,Advocate LUTHERAN GENERAL,76376,3D RENDERING WO POSTPROCESSING,402,720,,,,,,,,,,,,,,,,,,,10000589
9,1,Advocate SHERMAN,76376,3D RENDERING WO POSTPROCESSING,402,585,,,,,,,,,,,,,,,,,,,10000589
10,1,Advocate SOUTH SUBURBAN,76376,3D RENDERING WO POSTPROCESSING,402,905,,,,,,,,,,,,,,,,,,,10000589
11,1,Advocate TRINITY,76376,3D RENDERING WO POSTPROCESSING,402,905,,,,,,,,,,,,,,,,,,,10000589
1,1,Advocate CHRIST MEDICAL CENTER,76376,3D RENDERING WO POSTPROCESSING PEDS,402,390,,,,,,,,,,,,,,,,,,,13002994
1,1,Advocate CHRIST MEDICAL CENTER,83915,5 NUCLEOTIDASE,301,105,,,,,,,,,,,,,,,,,,,10001049
3,1,Advocate CONDELL,83915,5 NUCLEOTIDASE,301,200,,,,,,,,,,,,,,,,,,,10001049
4,1,Advocate GOOD SAMARITAN,83915,5 NUCLEOTIDASE,301,145,,,,,,,,,,,,,,,,,,,10001049
6,1,Advocate GOOD SHEPHERD,83915,5 NUCLEOTIDASE,301,130,,,,,,,,,,,,,,,,,,,10001049
13,1,Advocate ILLINOIS MASONIC,83915,5 NUCLEOTIDASE,301,125,,,,,,,,,,,,,,,,,,,10001049
8,1,Advocate LUTHERAN GENERAL,83915,5 NUCLEOTIDASE,301,180,,,,,,,,,,,,,,,,,,,10001049
9,1,Advocate SHERMAN,83915,5 NUCLEOTIDASE,301,40,,,,,,,,,,,,,,,,,,,10001049
10,1,Advocate SOUTH SUBURBAN,83915,5 NUCLEOTIDASE,301,115,,,,,,,,,,,,,,,,,,,10001049
11,1,Advocate TRINITY,83915,5 NUCLEOTIDASE,301,115,,,,,,,,,,,,,,,,,,,10001049
1,1,Advocate CHRIST MEDICAL CENTER,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
3,1,Advocate CONDELL,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
4,1,Advocate GOOD SAMARITAN,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
6,1,Advocate GOOD SHEPHERD,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
13,1,Advocate ILLINOIS MASONIC,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
8,1,Advocate LUTHERAN GENERAL,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
9,1,Advocate SHERMAN,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
10,1,Advocate SOUTH SUBURBAN,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
11,1,Advocate TRINITY,82642,5-A-DIHYDROTESTOSTERONE,301,275,,,,,,,,,,,,,,,,,,,10005928
1,1,Advocate CHRIST MEDICAL CENTER,82542,7 DEHYDROCHOLESTEROL,301,375,,,,,,,,,,,,,,,,,,,10006086
3,1,Advocate CONDELL,82542,7 DEHYDROCHOLESTEROL,301,270,,,,,,,,,,,,,,,,,,,10006086
4,1,Advocate GOOD SAMARITAN,82542,7 DEHYDROCHOLESTEROL,301,475,,,,,,,,,,,,,,,,,,,10006086
6,1,Advocate GOOD SHEPHERD,82542,7 DEHYDROCHOLESTEROL,301,475,,,,,,,,,,,,,,,,,,,10006086
13,1,Advocate ILLINOIS MASONIC,82542,7 DEHYDROCHOLESTEROL,301,285,,,,,,,,,,,,,,,,,,,10006086
8,1,Advocate LUTHERAN GENERAL,82542,7 DEHYDROCHOLESTEROL,301,475,,,,,,,,,,,,,,,,,,,10006086
9,1,Advocate SHERMAN,82542,7 DEHYDROCHOLESTEROL,301,490,,,,,,,,,,,,,,,,,,,10006086
10,1,Advocate SOUTH SUBURBAN,82542,7 DEHYDROCHOLESTEROL,301,475,,,,,,,,,,,,,,,,,,,10006086
11,1,Advocate TRINITY,82542,7 DEHYDROCHOLESTEROL,301,475,,,,,,,,,,,,,,,,,,,10006086
1,1,Advocate CHRIST MEDICAL CENTER,86790,AB HANTAVIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005804
3,1,Advocate CONDELL,86790,AB HANTAVIRUS IGG,302,225,,,,,,,,,,,,,,,,,,,10005804
4,1,Advocate GOOD SAMARITAN,86790,AB HANTAVIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005804
6,1,Advocate GOOD SHEPHERD,86790,AB HANTAVIRUS IGG,302,165,,,,,,,,,,,,,,,,,,,10005804
13,1,Advocate ILLINOIS MASONIC,86790,AB HANTAVIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005804
8,1,Advocate LUTHERAN GENERAL,86790,AB HANTAVIRUS IGG,302,65,,,,,,,,,,,,,,,,,,,10005804
9,1,Advocate SHERMAN,86790,AB HANTAVIRUS IGG,302,80,,,,,,,,,,,,,,,,,,,10005804
10,1,Advocate SOUTH SUBURBAN,86790,AB HANTAVIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005804
11,1,Advocate TRINITY,86790,AB HANTAVIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005804
1,1,Advocate CHRIST MEDICAL CENTER,86790,AB HANTAVIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005805
3,1,Advocate CONDELL,86790,AB HANTAVIRUS IGM,302,225,,,,,,,,,,,,,,,,,,,10005805
4,1,Advocate GOOD SAMARITAN,86790,AB HANTAVIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005805
6,1,Advocate GOOD SHEPHERD,86790,AB HANTAVIRUS IGM,302,165,,,,,,,,,,,,,,,,,,,10005805
13,1,Advocate ILLINOIS MASONIC,86790,AB HANTAVIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005805
8,1,Advocate LUTHERAN GENERAL,86790,AB HANTAVIRUS IGM,302,65,,,,,,,,,,,,,,,,,,,10005805
9,1,Advocate SHERMAN,86790,AB HANTAVIRUS IGM,302,80,,,,,,,,,,,,,,,,,,,10005805
10,1,Advocate SOUTH SUBURBAN,86790,AB HANTAVIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005805
11,1,Advocate TRINITY,86790,AB HANTAVIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005805
1,1,Advocate CHRIST MEDICAL CENTER,86790,AB SIN NOMBRE VIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005806
3,1,Advocate CONDELL,86790,AB SIN NOMBRE VIRUS IGG,302,225,,,,,,,,,,,,,,,,,,,10005806
4,1,Advocate GOOD SAMARITAN,86790,AB SIN NOMBRE VIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005806
6,1,Advocate GOOD SHEPHERD,86790,AB SIN NOMBRE VIRUS IGG,302,165,,,,,,,,,,,,,,,,,,,10005806
13,1,Advocate ILLINOIS MASONIC,86790,AB SIN NOMBRE VIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005806
8,1,Advocate LUTHERAN GENERAL,86790,AB SIN NOMBRE VIRUS IGG,302,330,,,,,,,,,,,,,,,,,,,10005806
9,1,Advocate SHERMAN,86790,AB SIN NOMBRE VIRUS IGG,302,180,,,,,,,,,,,,,,,,,,,10005806
10,1,Advocate SOUTH SUBURBAN,86790,AB SIN NOMBRE VIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005806
11,1,Advocate TRINITY,86790,AB SIN NOMBRE VIRUS IGG,302,140,,,,,,,,,,,,,,,,,,,10005806
1,1,Advocate CHRIST MEDICAL CENTER,86790,AB SIN NOMBRE VIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005807
3,1,Advocate CONDELL,86790,AB SIN NOMBRE VIRUS IGM,302,225,,,,,,,,,,,,,,,,,,,10005807
4,1,Advocate GOOD SAMARITAN,86790,AB SIN NOMBRE VIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005807
6,1,Advocate GOOD SHEPHERD,86790,AB SIN NOMBRE VIRUS IGM,302,165,,,,,,,,,,,,,,,,,,,10005807
13,1,Advocate ILLINOIS MASONIC,86790,AB SIN NOMBRE VIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005807
8,1,Advocate LUTHERAN GENERAL,86790,AB SIN NOMBRE VIRUS IGM,302,330,,,,,,,,,,,,,,,,,,,10005807
9,1,Advocate SHERMAN,86790,AB SIN NOMBRE VIRUS IGM,302,180,,,,,,,,,,,,,,,,,,,10005807
10,1,Advocate SOUTH SUBURBAN,86790,AB SIN NOMBRE VIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005807
11,1,Advocate TRINITY,86790,AB SIN NOMBRE VIRUS IGM,302,140,,,,,,,,,,,,,,,,,,,10005807
1,1,Advocate CHRIST MEDICAL CENTER,86830,AB TO HLA PHENOTYPE CLASS I,302,830,,,,,,,,,,,,,,,,,,,10004890
3,1,Advocate CONDELL,86830,AB TO HLA PHENOTYPE CLASS I,302,1020,,,,,,,,,,,,,,,,,,,10004890
4,1,Advocate GOOD SAMARITAN,86830,AB TO HLA PHENOTYPE CLASS I,302,960,,,,,,,,,,,,,,,,,,,10004890
6,1,Advocate GOOD SHEPHERD,86830,AB TO HLA PHENOTYPE CLASS I,302,905,,,,,,,,,,,,,,,,,,,10004890
13,1,Advocate ILLINOIS MASONIC,86830,AB TO HLA PHENOTYPE CLASS I,302,910,,,,,,,,,,,,,,,,,,,10004890
8,1,Advocate LUTHERAN GENERAL,86830,AB TO HLA PHENOTYPE CLASS I,302,910,,,,,,,,,,,,,,,,,,,10004890
9,1,Advocate SHERMAN,86830,AB TO HLA PHENOTYPE CLASS I,302,205,,,,,,,,,,,,,,,,,,,10004890
10,1,Advocate SOUTH SUBURBAN,86830,AB TO HLA PHENOTYPE CLASS I,302,545,,,,,,,,,,,,,,,,,,,10004890
11,1,Advocate TRINITY,86830,AB TO HLA PHENOTYPE CLASS I,302,545,,,,,,,,,,,,,,,,,,,10004890
1,1,Advocate CHRIST MEDICAL CENTER,86831,AB TO HLA PHENOTYPE CLASS II,302,710,,,,,,,,,,,,,,,,,,,10004891
3,1,Advocate CONDELL,86831,AB TO HLA PHENOTYPE CLASS II,302,870,,,,,,,,,,,,,,,,,,,10004891
4,1,Advocate GOOD SAMARITAN,86831,AB TO HLA PHENOTYPE CLASS II,302,820,,,,,,,,,,,,,,,,,,,10004891
6,1,Advocate GOOD SHEPHERD,86831,AB TO HLA PHENOTYPE CLASS II,302,780,,,,,,,,,,,,,,,,,,,10004891
13,1,Advocate ILLINOIS MASONIC,86831,AB TO HLA PHENOTYPE CLASS II,302,780,,,,,,,,,,,,,,,,,,,10004891
8,1,Advocate LUTHERAN GENERAL,86831,AB TO HLA PHENOTYPE CLASS II,302,780,,,,,,,,,,,,,,,,,,,10004891
9,1,Advocate SHERMAN,86831,AB TO HLA PHENOTYPE CLASS II,302,180,,,,,,,,,,,,,,,,,,,10004891
