LocationID,SystemID,LocationName,BillingCode,ServiceDescription,GrossCharge,DeidentifiedMaximumCharge,DeidentifiedMinimumCharge,DerivedContractedRate,DiscountedCashPrice,AetnaBetterHealthMedicaidHMO,AetnaCommercialHMOPOS,AetnaCommercialPPOOpenAccess,AetnaMedicaidHMO,AetnaMedicareAdvantageHMO,AetnaMedicareMedicareAdvantageHMO,AmbetterMedicaidHMO,BCBSCommercialHMOPOS,BlueCrossBlueShieldCommercialHMOPOS,BlueCrossBlueShieldCommercialPPOOpenAccess,BlueCrossBlueShieldIPACommercialHMOPOS,BlueCrossBlueShieldMedicaidMedicaidHMO,BlueCrossBlueShieldMedicareMedicareAdvantageHMO,CignaCommercialHMOPOS,CignaCommercialPPOOpenAccess,CignaMedicareAdvantageHMO,CountyCareMedicaidHMO,GEHACommercialHMOPOS,GenericCommercialother,HumanaCommercialHMOPOS,HumanaCommercialHMOPOS2nd,HumanaCommercialPPOOpenAccess,HumanaMedicareMedicareAdvantageHMO,IllinicareMedicaidHMO,MedicaidHMOOutofState,MedicaidMedicaid,MedicareAdvantageHMO,MedicareMedicare,MeridianMedicaidHMO,MolinaMedicaidHMO,OptumCommercialPPOOpenAccess,PhysiciansMutualCommercialother,TricareCommercialHMOPOS,Type,UHCCommercialother,UMRCommercialPPOOpenAccess,UMRCommercialPPOOpenAccess2nd,UnitedHealhCareCommercialOther,UnitedHealthCareCommercialHMOPOS,UnitedHealthCareCommercialPPOOpenAccess,UnitedHealthCareMedicaidMedicaidHMO,UnitedHealthCareMedicaidMedicaidHMO2nd,UnitedHealthCareMedicareAdvantageHMO,UnitedHealthCareMedicareMedicareAdvantageHMO,WellcareMedicareMedicareAdvantageHMO,WorkersComp
14,2,Gottlieb Memorial Hospital,11010,REMOVAL OF FOREIGN MATERIAL FROM SKIN AND TISSUE AT OPEN BROKEN AND/OR DISLOCATED BONE,2286.17,0,0,0,617.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11012,"REMOVAL OF FOREIGN MATERIAL FROM SKIN, TISSUE, MUSCLE, AND BONE AT OPEN BROKEN AND/OR DISLOCATED BONE",3329.5,2641,924.57,1782.79,898.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641,924.57,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",1477.88,1470.52,219.95,460.88,399.03,,,,219.95,,,,,,359.47,270.87,338.21,363.67,,667.51,,219.95,,,,,,365.75,,,,,1470.52,381.85,363.67,,,,Outpatient,,,,,,767.5,,,363.67,392.32,368.22,
14,2,Gottlieb Memorial Hospital,11043,"REMOVAL OF MUSCLE AND/OR TISSUE, 20.0 SQ CM OR LESS",1679.28,1756.09,546.98,707.5,453.41,,,,598.4,,,,,,,546.98,598.4,,,551.07,,598.4,,,,,,560.95,,,,,1756.09,578.62,,,,,Outpatient,,,,,,,,,,,578.62,
14,2,Gottlieb Memorial Hospital,11044,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",3052.04,2967.5,858.94,1544.06,824.05,,,,,,,,,,,,858.94,,,1480.44,,858.94,,,,,,,,,,,2967.5,1554.46,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11045,"REMOVAL OF SKIN AND TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",507.88,598.4,46.35,347.23,137.13,,,,361.3,,,,,,146.44,46.35,544,,,,,,,,,,,95.8,,,,,512.23,598.4,598.4,,,,Outpatient,,,,,,222.18,,,,,,
14,2,Gottlieb Memorial Hospital,11046,"REMOVAL OF MUSCLE AND/OR TISSUE, EACH ADDITIONAL 20.0 SQ CM OR LESS",765.37,685.23,149.6,403.08,206.65,,,,149.6,,,,,,,,,,,,,,,,,,,374.41,,,,,685.23,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11047,"REMOVAL OF BONE, EACH ADDITIONAL 20.0 SQ CM OR LESS",1632,0,0,0,440.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11104,"PUNCH BIOPSY, FIRST SKIN GROWTH",918,368.76,338.21,353.49,247.86,,,,,,,,,,,,338.21,,,,,,,,,,,368.76,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11105,"PUNCH BIOPSY, EACH ADDITIONAL SKIN GROWTH",389,0,0,0,105.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11400,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",2697.5,0,0,0,728.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11401,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.6-1.0 CM",2855.5,0,0,0,770.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11403,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",3469,663.93,663.93,663.93,936.63,,,,,,,,,,,,,,,,,,,,,,,663.93,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11404,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 3.1-4.0 CM",1913,462.29,462.29,462.29,516.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.29,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11406,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, MORE THAN 4.0 CM",2616.42,1501.17,924.57,1346.35,706.43,,,,,,,,,,,,,,,,,,,,,,,1501.17,,,,,1479.2,,924.57,,,,Outpatient,,,,,,1480.44,,,,,,
14,2,Gottlieb Memorial Hospital,11420,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.5 CM OR LESS",3046.14,3386,1480.44,2433.22,822.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,3386,,,,,,Outpatient,,,,,,,,,,1480.44,,
14,2,Gottlieb Memorial Hospital,11421,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 0.6-1.0 CM",3500.56,462.29,462.29,462.29,945.15,,,,,,,,,,,,462.29,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11422,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 1.1-2.0 CM",3469,0,0,0,936.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11424,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, 3.1-4.0 CM",4018,1501.17,924.57,1212.87,1084.86,,,,,,,,,,,,,,,,,,,,,,,1501.17,,,,,,,924.57,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11426,"REMOVAL OF NONCANCER SKIN GROWTH OF SCALP, NECK, HANDS, FEET, OR GENITALS, MORE THAN 4.0 CM",2175.11,2603.34,2529.71,2566.53,587.28,,,,,,,,,,,,,,,,,,,,,,,2529.71,,,,,2603.34,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11440,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 0.5 CM OR LESS",3112,0,0,0,840.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11442,"REMOVAL OF NONCANCER SKIN GROWTH OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 1.1-2.0 CM",3386,462.29,462.29,462.29,914.22,,,,462.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11450,REMOVAL OF SKIN AND TISSUE OF UNDERARMS FOR INFLAMED SWEAT GLANDS WITH SIMPLE OR INTERMEDIATE REPAIR,2641,924.57,924.57,924.57,713.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.57,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11603,"REMOVAL OF CANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",1377,663.93,663.93,663.93,371.79,,,,,,,,,,,,,,,,,,,,,,,663.93,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11730,"SIMPLE SEPARATION OF FINGERNAIL OR TOENAIL FROM NAIL BED, FIRST NAIL",1237.67,362.23,362.23,362.23,334.17,,,,,,,,,,,,,,,362.23,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11740,REMOVAL OF BLOOD ACCUMULATION UNDER FINGERNAIL OR TOENAIL,362.5,58.84,58.84,58.84,97.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.84,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11750,PERMANENT REMOVAL FINGERNAIL OR TOENAIL,1913,231.14,231.14,231.14,516.51,,,,,,,,,,,,231.14,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11755,BIOPSY OF FINGERNAIL OR TOENAIL,1128.66,0,0,0,304.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11760,REPAIR OF FINGERNAIL OR TOENAIL BED,2071.93,103.18,103.18,103.18,559.42,,,,,,,,,,,,,,,,,103.18,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11770,SIMPLE REMOVAL OF CYST OF TAILBONE,3919,2996,924.57,2113.45,1058.13,,,,,,,,,,2419.78,,924.57,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,2996,,,,,,
14,2,Gottlieb Memorial Hospital,11771,EXTENSIVE REMOVAL OF CYST OF TAILBONE,3826,0,0,0,1033.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,11981,INSERTION OF DRUG DELIVERY IMPLANT INTO TISSUE,2742.5,0,0,0,740.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12001,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",434.1,416.31,48.87,205.36,117.21,,,,185.72,,,,,,186.99,,206.36,,,288.15,,206.36,,,,,,,,48.87,,,416.31,196.98,185.72,,,,Outpatient,,132.16,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12002,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",434.27,429.42,197.76,246.09,117.25,,,,206.36,,,,,,,,206.36,,,219.76,,197.76,,,,,,,,,,,429.42,206.36,256.59,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12004,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",437.31,440.75,206.36,284.49,118.07,,,,,,,,,,,,206.36,,,,,206.36,,,,,,,,,,,440.75,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12005,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 12.6-20.0 CM",430.5,410,206.36,308.18,116.24,,,,,,,,,,,,206.36,,,,,,,,,,,,,,,,410,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12006,"SIMPLE REPAIR OF SURFACE WOUND OF SCALP, NECK, UNDERARMS, TRUNK, ARMS, OR LEGS, 20.1-30.0 CM",410,0,0,0,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12011,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS",437.22,433.65,186.99,237.26,118.05,,,,206.36,,,,,,186.99,,191.62,,,260.41,,206.36,,,,,,,,,,,433.65,206.36,206.36,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12013,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.6-5.0 CM",430.15,428.22,103.18,251.13,116.14,,,,,,,,,,,,206.36,,,356.29,,103.18,,,,,,,,,,,428.22,206.36,206.36,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12014,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 5.1-7.5 CM",444.17,206.36,206.36,206.36,119.93,,,,206.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12015,"SIMPLE REPAIR OF SURFACE WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 7.6-12.5 CM",451,451,451,451,121.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12031,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.5 CM OR LESS",2009,0,0,0,542.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12032,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 2.6-7.5 CM",1705.73,1479.2,184.39,831.8,460.55,,,,,,,,,,,,,,,,,,,,,,,184.39,,,,,1479.2,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12034,"INTERMEDIATE REPAIR OF WOUND OF SCALP, UNDERARMS, TRUNK, ARMS, OR LEGS, 7.6-12.5 CM",2285.17,0,0,0,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12042,"INTERMEDIATE REPAIR OF WOUND OF NECK, HANDS, FEET, OR GENITALS, 2.6-7.5 CM",1913,0,0,0,516.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,12051,"INTERMEDIATE REPAIR OF WOUND OF FACE, EARS, EYELIDS, NOSE, LIPS, OR MOUTH, 2.5 CM OR LESS",451,0,0,0,121.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,13121,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, 2.6-7.5 CM",1047,0,0,0,282.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,13122,"COMPLICATED REPAIR OF WOUND OF SCALP, ARMS, OR LEGS, EACH ADDITIONAL 5.0 CM OR LESS",560,0,0,0,151.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,13132,"COMPLICATED REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, 2.6-7.5 CM",1421,355.44,355.44,355.44,383.67,,,,,,,,,,,,355.44,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14000,"REPAIR OF WOUND OF TRUNK BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",2984,0,0,0,805.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14020,"REPAIR OF WOUND OF SCALP, ARMS, OR LEGS BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",4612.33,5598,1257.32,3427.66,1245.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,5598,,1257.32,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14040,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",2595.94,2244.78,1783.48,2014.13,700.9,,,,,,,,,,1783.48,,,,,,,,,,,,,,,,,,2244.78,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14041,"REPAIR OF WOUND OF FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET BY TRANSFERRING SKIN, 10.1-30.0 SQ CM",4287.66,4885.95,4885.95,4885.95,1157.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885.95,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14060,"REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIPS BY TRANSFERRING SKIN, 10.0 SQ CM OR LESS",3289.92,3438.67,3438.67,3438.67,888.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,3438.67,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,14061,"REPAIR OF WOUND OF EYELIDS, NOSE, EARS, OR LIPS BY TRANSFERRING SKIN, 10.1-30.0 SQ CM",4133,5282,5282,5282,1115.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,5282,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15002,"PREPARATION OF SKIN GRAFT SITE OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS",2722.87,2836,462.29,1649.15,735.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2836,,462.29,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15004,"PREPARATION OF SKIN GRAFT SITE OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS",1721.83,1764.8,1764.8,1764.8,464.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.8,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15120,"PARTIAL THICKNESS SELF SKIN GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS",2325,0,0,0,627.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15240,"FULL THICKNESS SKIN GRAFT TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, 20.0 SQ CM OR LESS",3529.52,3304.93,3304.93,3304.93,952.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304.93,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15241,"FULL THICKNESS SKIN GRAFT TO FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, UNDERARMS, GENITALS, HANDS, OR FEET, EACH ADDITIONAL 20.0 SQ CM",1764.8,1764.8,1764.8,1764.8,476.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.8,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15271,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS",3241.09,3246,1136.31,1711.74,875.09,,,,,,,,,,1783.48,,1136.31,,,,,,,,,,,1832.01,,,,,3246,1136.31,1136.31,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15272,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF TRUNK, ARMS, OR LEGS, EACH ADDITIONAL 25.0 SQ CM OF WOUND 100.0 SQ CM OR LESS",1138.7,1065,298.2,681.6,307.45,,,,,,,,,,298.2,,,,,,,,,,,,,,,,,,1065,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15273,"SKIN SUBSTITUTE GRAFT TO WOUND 100.0 SQ CM OR MORE OF TRUNK, ARMS, OR LEGS, 100.0 SQ CM OR 1% BODY AREA FOR INFANTS AND CHILDREN, OR LESS",2984,0,0,0,805.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15275,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, 25.0 SQ CM OR LESS OF WOUND 100.0 SQ CM OR LESS",3207.61,3246,1720,2048.33,866.05,,,,,,,,,,1720,1802.16,,,,,,,,,,,,1827.39,,,,,3246,1892.27,,,,,Outpatient,,,,,,1802.16,,,,,,
14,2,Gottlieb Memorial Hospital,15276,"APPLICATION OF SKIN SUBSTITUTE GRAFT TO WOUND OF FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, AROUND EYES, GENITALS, HANDS, FEET, FINGERS, OR TOES, EACH ADDITIONAL 25.0 SQ CM OF WOUND 100.0 SQ CM OR LESS",1180,0,0,0,318.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outpatient,,,,,,,,,,,,
14,2,Gottlieb Memorial Hospital,15731,"CREATION OF FLAP GRAFT TO NOSE, FOREHEAD, TEMPLE, OR SCALP",2708.67,2276.17,2276.17,2276.17,731.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.17,,,,,,Outpatient,,,,,,,,,,,,
